% f evaluations | g evaluations | best noise-free fitness - Fopt (9.917000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.270454043e+02 +2.262154043e+02 +2.262154043e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 0 +8.535296634e+01 +1.845229663e+02 +1.845229663e+02 -7.8621e-01 +1.0814e+00 -8.2934e-01 -1.6162e+00 +8.7683e-01 -2.4736e-01 -4.4119e-01 -3.8196e+00 +4.3367e-01 +2.6711e+00
3 0 +5.500057749e+01 +1.541705775e+02 +1.541705775e+02 -1.5220e+00 -1.5601e+00 -2.5775e+00 -8.4657e-01 -2.4647e+00 +2.6665e-02 +1.0399e+00 +1.7476e-01 -1.0569e-01 +1.3022e-01
6 0 +2.795727406e+01 +1.271272741e+02 +1.271272741e+02 -1.1835e+00 -4.0931e+00 +7.6207e-01 -1.4270e+00 +2.5221e-01 +2.1691e+00 -3.0108e+00 +1.6430e+00 -9.4716e-01 +1.8677e-01
138 0 +2.004620404e+01 +1.192162040e+02 +1.192162040e+02 -1.4246e+00 +8.9874e-02 -5.9852e+00 +5.1352e+00 +2.9727e+00 +4.1657e+00 -1.9321e+00 +3.3146e-02 +3.8121e-01 -3.9913e+00
715 0 +1.885654590e+01 +1.180265459e+02 +1.180265459e+02 -5.5814e+00 +1.7219e+00 -5.6432e+00 -7.0356e-01 -1.9539e+00 +4.2667e+00 -4.0180e+00 -1.9705e+00 -5.4661e-01 -4.8317e+00
1027 0 +1.396420660e+01 +1.131342066e+02 +1.131342066e+02 -4.0414e+00 +4.8500e+00 -6.3026e+00 +2.0431e+00 +4.9430e+00 +1.9202e+00 -1.4083e+00 +1.4587e-01 +1.0664e+00 -2.2078e+00
1462 0 +1.110498709e+01 +1.102749871e+02 +1.102749871e+02 -1.4233e+00 +4.9782e+00 -6.9487e+00 -2.1471e+00 +4.3850e+00 +2.4856e+00 -9.5218e-01 +5.5222e-01 -7.4135e-02 +1.1036e+00
1504 0 +1.021468473e+01 +1.093846847e+02 +1.093846847e+02 -7.7476e-01 +5.5897e+00 -6.9137e+00 -2.4881e+00 +4.5736e+00 +2.7309e+00 -9.4962e-01 +7.8599e-01 -3.0418e-01 +1.8144e+00
1505 0 +8.414195074e+00 +1.075841951e+02 +1.075841951e+02 -6.6580e-01 +5.8224e+00 -6.7858e+00 -2.7337e+00 +4.6143e+00 +3.2043e+00 -9.0070e-01 +9.3633e-01 -5.3241e-02 +1.8044e+00
1545 0 +7.643065645e+00 +1.068130656e+02 +1.068130656e+02 -1.0469e+00 +5.4802e+00 -6.6913e+00 -2.4176e+00 +4.6870e+00 +2.9726e+00 -8.4281e-01 +4.1058e-01 -1.1978e-01 +1.9691e+00
1678 0 +6.465779497e+00 +1.056357795e+02 +1.056357795e+02 -1.0369e+00 +5.4310e+00 -6.2662e+00 -3.1367e+00 +5.3542e+00 +2.8378e+00 -9.4689e-01 +7.8292e-01 -9.1338e-02 +2.7175e+00
1773 0 +5.843292438e+00 +1.050132924e+02 +1.050132924e+02 -7.8581e-01 +5.7749e+00 -6.5564e+00 -2.9631e+00 +5.2054e+00 +2.8536e+00 -1.0254e+00 +9.2625e-01 -1.3680e-01 +2.6384e+00
1902 0 +4.538966815e+00 +1.037089668e+02 +1.037089668e+02 -6.9047e-01 +5.7360e+00 -6.3446e+00 -2.8535e+00 +5.0556e+00 +2.9998e+00 -9.4719e-01 +6.1354e-01 -1.3349e-01 +2.3508e+00
1975 0 +3.839103460e+00 +1.030091035e+02 +1.030091035e+02 -7.0025e-01 +5.6640e+00 -6.2448e+00 -3.0392e+00 +5.0318e+00 +2.9087e+00 -1.0337e+00 +9.4674e-01 -2.3742e-01 +2.3676e+00
1985 0 +3.794758322e+00 +1.029647583e+02 +1.029647583e+02 -7.0757e-01 +5.7329e+00 -6.3623e+00 -3.0170e+00 +5.0333e+00 +2.8364e+00 -9.9908e-01 +8.0683e-01 -1.7171e-01 +2.5204e+00
2057 0 +3.595894834e+00 +1.027658948e+02 +1.027658948e+02 -8.0951e-01 +5.6827e+00 -6.2510e+00 -3.1015e+00 +4.8949e+00 +2.7835e+00 -9.0185e-01 +8.6474e-01 -2.6502e-01 +2.4570e+00
2062 0 +3.417157799e+00 +1.025871578e+02 +1.025871578e+02 -7.2010e-01 +5.6975e+00 -6.3761e+00 -3.1020e+00 +4.8081e+00 +2.7976e+00 -9.6963e-01 +8.4984e-01 -2.8324e-01 +2.5019e+00
2068 0 +3.379463987e+00 +1.025494640e+02 +1.025494640e+02 -7.4258e-01 +5.7093e+00 -6.1499e+00 -3.1290e+00 +4.9019e+00 +2.9430e+00 -9.2568e-01 +7.6274e-01 -1.8974e-01 +2.4798e+00
2080 0 +3.201922538e+00 +1.023719225e+02 +1.023719225e+02 -7.3701e-01 +5.6679e+00 -6.1195e+00 -3.0014e+00 +4.8519e+00 +2.9670e+00 -9.3553e-01 +7.1670e-01 -1.9989e-01 +2.3648e+00
2202 0 +2.767733228e+00 +1.019377332e+02 +1.019377332e+02 -6.6789e-01 +5.7485e+00 -6.2044e+00 -3.0073e+00 +4.8489e+00 +2.8970e+00 -9.4532e-01 +6.9272e-01 -2.1388e-01 +2.4222e+00
2245 0 +2.717925524e+00 +1.018879255e+02 +1.018879255e+02 -6.0575e-01 +5.6413e+00 -6.1776e+00 -3.0409e+00 +4.8193e+00 +2.9678e+00 -9.5475e-01 +7.2109e-01 -1.9028e-01 +2.4260e+00
2282 0 +2.541089768e+00 +1.017110898e+02 +1.017110898e+02 -5.5384e-01 +5.7168e+00 -6.2285e+00 -2.9849e+00 +4.8997e+00 +2.9369e+00 -9.5775e-01 +7.2660e-01 -2.1208e-01 +2.3802e+00
2321 0 +2.468703856e+00 +1.016387039e+02 +1.016387039e+02 -6.1139e-01 +5.6705e+00 -6.1911e+00 -3.0300e+00 +4.8177e+00 +2.9600e+00 -9.3998e-01 +7.3590e-01 -2.2513e-01 +2.3578e+00
2355 0 +2.408005668e+00 +1.015780057e+02 +1.015780057e+02 -6.2068e-01 +5.6548e+00 -6.1603e+00 -3.0434e+00 +4.8196e+00 +2.9359e+00 -9.4485e-01 +7.0391e-01 -2.1428e-01 +2.4221e+00
2445 0 +2.398534488e+00 +1.015685345e+02 +1.015685345e+02 -6.8642e-01 +5.6817e+00 -6.1906e+00 -3.0592e+00 +4.7889e+00 +2.9436e+00 -9.4365e-01 +6.9512e-01 -2.3538e-01 +2.4304e+00
2546 0 +2.325713507e+00 +1.014957135e+02 +1.014957135e+02 -6.5238e-01 +5.6668e+00 -6.1601e+00 -3.0441e+00 +4.8238e+00 +2.9397e+00 -9.2016e-01 +7.4132e-01 -2.3211e-01 +2.3793e+00
2588 0 +2.269712837e+00 +1.014397128e+02 +1.014397128e+02 -6.5568e-01 +5.6479e+00 -6.1809e+00 -3.0518e+00 +4.8002e+00 +2.9456e+00 -9.0421e-01 +7.4183e-01 -2.3842e-01 +2.3517e+00
2697 0 +2.201785267e+00 +1.013717853e+02 +1.013717853e+02 -6.4504e-01 +5.6467e+00 -6.1677e+00 -3.0177e+00 +4.8269e+00 +2.9417e+00 -9.0943e-01 +7.4699e-01 -2.3704e-01 +2.3571e+00
