% f evaluations | g evaluations | best noise-free fitness - Fopt (2.473000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +2.141729431e+00 +2.687172943e+01 +2.687172943e+01 +0.0000e+00 +0.0000e+00
3 0 +2.019021893e+00 +2.674902189e+01 +2.674902189e+01 +1.1378e-02 +4.3392e-01
16 0 +1.803804071e+00 +2.653380407e+01 +2.653380407e+01 -2.1765e+00 +1.6564e+00
23 0 +6.792700820e-01 +2.540927008e+01 +2.540927008e+01 -4.9575e+00 +2.2104e+00
37 0 +6.165498160e-01 +2.534654982e+01 +2.534654982e+01 -3.3065e+00 +1.6267e+00
60 0 +3.654461218e-03 +2.473365446e+01 +2.473365446e+01 -4.0108e+00 +2.0008e+00
87 0 +2.825349634e-03 +2.473282535e+01 +2.473282535e+01 -4.0480e+00 +1.9056e+00
92 0 +2.723234573e-03 +2.473272323e+01 +2.473272323e+01 -3.5817e+00 +1.8551e+00
102 0 +2.448174478e-04 +2.473024482e+01 +2.473024482e+01 -3.6418e+00 +1.8907e+00
110 0 +5.650159743e-05 +2.473005650e+01 +2.473005650e+01 -3.9095e+00 +1.9159e+00
114 0 +3.774473021e-05 +2.473003774e+01 +2.473003774e+01 -3.8745e+00 +1.9476e+00
115 0 +3.272963353e-05 +2.473003273e+01 +2.473003273e+01 -3.7252e+00 +1.9239e+00
133 0 +6.608030233e-06 +2.473000661e+01 +2.473000661e+01 -3.7429e+00 +1.9145e+00
141 0 +1.728053100e-06 +2.473000173e+01 +2.473000173e+01 -3.8607e+00 +1.9202e+00
169 0 +6.223578097e-08 +2.473000006e+01 +2.473000006e+01 -3.8288e+00 +1.9193e+00
174 0 +1.564543695e-08 +2.473000002e+01 +2.473000002e+01 -3.8231e+00 +1.9257e+00
182 0 +1.187962440e-08 +2.473000001e+01 +2.473000001e+01 -3.8315e+00 +1.9254e+00
191 0 +3.523279446e-09 +2.473000000e+01 +2.473000000e+01 -3.8310e+00 +1.9239e+00
% f evaluations | g evaluations | best noise-free fitness - Fopt (4.463000000000e+01) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
1 0 +1.134908880e+01 +5.597908880e+01 +5.597908880e+01 +0.0000e+00 +0.0000e+00
3 0 +7.113720522e+00 +5.174372052e+01 +5.174372052e+01 -2.6786e+00 +2.2676e-01
5 0 +6.450546081e+00 +5.108054608e+01 +5.108054608e+01 +1.0091e-01 +3.6646e+00
24 0 +4.858183456e+00 +4.948818346e+01 +4.948818346e+01 +1.6477e+00 +4.4612e+00
34 0 +2.430721077e+00 +4.706072108e+01 +4.706072108e+01 +7.0650e-01 -1.1810e+00
52 0 +2.313125799e+00 +4.694312580e+01 +4.694312580e+01 -9.7476e-01 +3.2084e+00
75 0 +2.138515300e+00 +4.676851530e+01 +4.676851530e+01 +1.4400e-02 +4.3675e+00
101 0 +7.092856563e-02 +4.470092857e+01 +4.470092857e+01 +1.5142e+00 +3.1024e+00
141 0 +1.381705609e-02 +4.464381706e+01 +4.464381706e+01 +2.8439e-01 +3.0194e+00
225 0 +6.946313676e-04 +4.463069463e+01 +4.463069463e+01 +5.6839e-01 +3.0290e+00
253 0 +4.166786278e-04 +4.463041668e+01 +4.463041668e+01 +5.4989e-01 +3.0558e+00
274 0 +1.764288172e-04 +4.463017643e+01 +4.463017643e+01 +9.3077e-01 +3.0506e+00
284 0 +3.042487847e-05 +4.463003042e+01 +4.463003042e+01 +8.4331e-01 +3.0419e+00
286 0 +1.973722667e-05 +4.463001974e+01 +4.463001974e+01 +6.7376e-01 +3.0597e+00
287 0 +1.218678307e-06 +4.463000122e+01 +4.463000122e+01 +7.4139e-01 +3.0626e+00
321 0 +6.325325543e-07 +4.463000063e+01 +4.463000063e+01 +8.0642e-01 +3.0574e+00
323 0 +2.264222942e-07 +4.463000023e+01 +4.463000023e+01 +7.3617e-01 +3.0519e+00
333 0 +1.762762238e-07 +4.463000018e+01 +4.463000018e+01 +7.3810e-01 +3.0522e+00
337 0 +7.827767945e-08 +4.463000008e+01 +4.463000008e+01 +7.8237e-01 +3.0588e+00
338 0 +1.141379613e-08 +4.463000001e+01 +4.463000001e+01 +7.5885e-01 +3.0528e+00
358 0 +1.054544185e-08 +4.463000001e+01 +4.463000001e+01 +7.7119e-01 +3.0577e+00
364 0 +3.046871200e-09 +4.463000000e+01 +4.463000000e+01 +7.7544e-01 +3.0558e+00
